OrderID,Product,Category,Region,Quantity,PricePerUnit,TotalSales,Date
ORD10000,Smartwatch,Electronics,North America,1,300,300.0,2024-09-24
ORD10001,Science,Books,Asia,4,30,120.0,2025-01-18
ORD10002,Running Shoes,Sports,Australia,1,100,100.0,2025-01-15
ORD10003,Washing Machine,Home Appliances,North America,2,1800,3600.0,2024-11-29
ORD10004,Camera,Electronics,Asia,2,700,1400.0,2024-11-01
ORD10005,Smartphone,Electronics,Asia,1,800,800.0,2024-12-14
ORD10006,Sofa,Furniture,Asia,2,5000,10000.0,2025-01-20
ORD10007,Sofa,Furniture,Asia,1,5000,5000.0,2025-01-14
ORD10008,Washing Machine,Home Appliances,Europe,1,1800,1800.0,2024-10-31
ORD10009,Vacuum Cleaner,Home Appliances,North America,1,500,500.0,2024-09-24
ORD10010,Smartphone,Electronics,Asia,2,800,1600.0,2025-02-22
ORD10011,Board Game,Toys,Asia,1,80,80.0,2025-01-11
ORD10012,Laptop,Electronics,Europe,1,1200,1200.0,2025-02-17
ORD10013,RC Car,Toys,Europe,1,150,150.0,2024-10-03
ORD10014,Jeans,Apparel,Asia,2,50,100.0,2024-11-05
ORD10015,Washing Machine,Home Appliances,Asia,12,1800,7856.044495486879,2024-12-08
ORD10016,Philosophy,Books,North America,14,18,56.67803833677422,2024-10-01
ORD10017,Vacuum Cleaner,Home Appliances,North America,1,500,500.0,2024-10-12
ORD10018,Dumbbells,Sports,Asia,2,150,300.0,2025-02-08
ORD10019,Jeans,Apparel,Asia,4,50,200.0,2024-11-11
ORD10020,Bookshelf,Furniture,North America,3,2000,6000.0,2024-10-26
ORD10021,Washing Machine,Home Appliances,North America,1,1800,1800.0,2024-10-19
ORD10022,Fiction,Books,Europe,2,15,30.0,2025-01-14
ORD10023,Science,Books,North America,1,30,30.0,2025-02-02
ORD10024,Refrigerator,Home Appliances,Europe,7,2500,17500.0,2025-02-02
ORD10025,Microwave,Home Appliances,Europe,1,200,200.0,2025-02-09
ORD10026,Air Conditioner,Home Appliances,Europe,1,3500,3500.0,2025-01-17
ORD10027,Refrigerator,Home Appliances,South America,2,2500,5000.0,2024-09-06
ORD10028,T-Shirt,Apparel,Asia,2,25,50.0,2024-11-10
ORD10029,Bed,Furniture,Europe,3,4500,13500.0,2024-10-16
ORD10030,Wardrobe,Furniture,Australia,1,6000,6000.0,2025-01-25
ORD10031,Refrigerator,Home Appliances,Asia,1,2500,2500.0,2024-11-11
ORD10032,Bookshelf,Furniture,South America,2,2000,4000.0,2024-09-28
ORD10033,Shoes,Apparel,South America,1,80,80.0,2024-12-14
ORD10034,Non-Fiction,Books,Asia,2,20,40.0,2024-09-27
ORD10035,Dumbbells,Sports,South America,2,150,300.0,2025-02-19
ORD10036,Refrigerator,Home Appliances,Europe,3,2500,7500.0,2024-12-14
ORD10037,Smartphone,Electronics,North America,18,800,4389.841260767929,2024-11-24
ORD10038,RC Car,Toys,Europe,2,150,300.0,2024-11-25
ORD10039,Sofa,Furniture,North America,1,5000,5000.0,2024-09-15
ORD10040,Bed,Furniture,Australia,1,4500,4500.0,2024-12-09
ORD10041,Non-Fiction,Books,Asia,5,20,100.0,2024-09-16
ORD10042,Action Figure,Toys,Europe,1,40,40.0,2024-11-03
ORD10043,Football,Sports,South America,1,60,60.0,2024-09-28
ORD10044,Sofa,Furniture,Asia,1,5000,5000.0,2025-02-01
ORD10045,Non-Fiction,Books,Australia,6,20,120.0,2024-10-26
ORD10046,Jeans,Apparel,Europe,2,50,100.0,2025-01-03
ORD10047,Camera,Electronics,South America,4,700,2800.0,2025-01-26
ORD10048,Doll,Toys,South America,7,50,350.0,2025-01-17
ORD10049,Air Conditioner,Home Appliances,Asia,1,3500,3500.0,2024-12-24
ORD10050,Sofa,Furniture,South America,1,5000,5000.0,2024-12-21
ORD10051,Washing Machine,Home Appliances,South America,1,1800,1800.0,2025-01-27
ORD10052,Smartphone,Electronics,South America,5,800,4000.0,2024-10-22
ORD10053,T-Shirt,Apparel,North America,1,25,25.0,2025-02-16
ORD10054,Non-Fiction,Books,Europe,6,20,120.0,2024-10-24
ORD10055,Doll,Toys,Australia,1,50,50.0,2025-02-15
ORD10056,Lego Set,Toys,North America,2,100,200.0,2024-09-30
ORD10057,History,Books,South America,25,25,216.54204819337332,2024-10-24
ORD10058,Jacket,Apparel,South America,2,120,240.0,2025-01-29
ORD10059,Camera,Electronics,South America,1,700,700.0,2025-02-22
ORD10060,Wardrobe,Furniture,Asia,3,6000,18000.0,2024-10-19
ORD10061,Laptop,Electronics,North America,7,1200,8400.0,2024-11-17
ORD10062,History,Books,Australia,3,25,75.0,2025-01-31
ORD10063,Wardrobe,Furniture,Asia,4,6000,24000.0,2024-12-31
ORD10064,Running Shoes,Sports,Europe,2,100,200.0,2025-01-16
ORD10065,Tablet,Electronics,Europe,1,500,500.0,2024-09-17
ORD10066,Wardrobe,Furniture,South America,2,6000,12000.0,2024-10-31
ORD10067,Camera,Electronics,Europe,3,700,2100.0,2024-09-13
ORD10068,Smartphone,Electronics,North America,3,800,2400.0,2024-11-17
ORD10069,Camera,Electronics,North America,2,700,1400.0,2024-10-24
ORD10070,Wardrobe,Furniture,Europe,3,6000,18000.0,2024-12-24
ORD10071,Action Figure,Toys,Australia,4,40,160.0,2024-11-26
ORD10072,Camera,Electronics,Europe,1,700,700.0,2024-12-18
ORD10073,Bookshelf,Furniture,Asia,6,2000,12000.0,2024-12-02
ORD10074,Bookshelf,Furniture,South America,3,2000,6000.0,2025-01-02
ORD10075,Camera,Electronics,Europe,1,700,700.0,2024-11-04
ORD10076,Tablet,Electronics,Asia,4,500,2000.0,2024-12-02
ORD10077,Action Figure,Toys,South America,2,40,80.0,2024-11-24
ORD10078,Bookshelf,Furniture,Asia,5,2000,10000.0,2025-02-13
ORD10079,Laptop,Electronics,Asia,1,1200,1200.0,2024-11-21
ORD10080,Refrigerator,Home Appliances,Asia,3,2500,7500.0,2024-12-19
ORD10081,Doll,Toys,North America,1,50,50.0,2025-02-25
ORD10082,Action Figure,Toys,North America,1,40,40.0,2025-01-07
ORD10083,Camera,Electronics,South America,4,700,2800.0,2024-11-19
ORD10084,Refrigerator,Home Appliances,South America,6,2500,15000.0,2024-11-09
ORD10085,Tablet,Electronics,Asia,3,500,1500.0,2024-12-20
ORD10086,Washing Machine,Home Appliances,Australia,6,1800,10800.0,2024-12-05
ORD10087,Laptop,Electronics,Asia,1,1200,1200.0,2025-01-07
ORD10088,Refrigerator,Home Appliances,Europe,2,2500,5000.0,2024-11-06
ORD10089,Smartwatch,Electronics,North America,1,300,300.0,2025-01-03
ORD10090,Laptop,Electronics,South America,2,1200,2400.0,2025-01-10
ORD10091,Laptop,Electronics,Asia,1,1200,1200.0,2025-01-28
ORD10092,Doll,Toys,North America,1,50,50.0,2025-01-08
ORD10093,Science,Books,North America,2,30,60.0,2024-09-25
ORD10094,Microwave,Home Appliances,Asia,1,200,200.0,2024-11-22
ORD10095,Wardrobe,Furniture,Europe,9,6000,13213.550479827572,2024-09-27
ORD10096,Fiction,Books,South America,1,15,15.0,2025-02-23
ORD10097,Dining Table,Furniture,South America,2,3500,7000.0,2025-02-17
ORD10098,Smartphone,Electronics,North America,4,800,3200.0,2025-01-15
ORD10099,Smartphone,Electronics,Europe,3,800,2400.0,2025-01-25
ORD10100,Philosophy,Books,Asia,5,18,90.0,2024-12-30
ORD10101,Football,Sports,Asia,1,60,60.0,2024-11-27
ORD10102,T-Shirt,Apparel,Europe,2,25,50.0,2025-01-20
ORD10103,Dining Table,Furniture,Asia,10,3500,9298.876591914404,2025-01-23
ORD10104,Board Game,Toys,Asia,1,80,80.0,2025-02-13
ORD10105,Smartphone,Electronics,Asia,5,800,4000.0,2024-10-08
ORD10106,Microwave,Home Appliances,Asia,1,200,200.0,2024-10-24
