Date,Region,Product,Quantity,UnitPrice,StoreLocation,CustomerType,Discount,Salesperson,sales,PaymentMethod,Promotion,Returned,OrderID,CustomerName,ShippingCost,OrderDate,DeliveryDate,RegionManager
2/23/2023,East,Laptop,14,163.6,Store B,Wholesale,0,Eva,2290.4,Online,FREESHIP,0,REG100000,Cust 6583,43.34,2/23/2023,2/27/2023,Eric
12/19/2024,South,Phone,1,544.01,Store A,Retail,0,Alice,544.01,Gift Card,SAVE10,0,REG100001,Cust 2144,5.3,12/19/2024,12/28/2024,Sophie
5/10/2023,North,Desk,14,346.18,Store B,Wholesale,0.1,Alice,4361.868,Online,WINTER15,0,REG100002,Cust 5998,20.46,5/10/2023,5/19/2023,Ryan
2/26/2025,Central,Chair,18,384.82,Store A,Wholesale,0.15,Frank,5887.746,Gift Card,FREESHIP,0,REG100003,Cust 7136,27.95,2/26/2025,3/2/2025,Cameron
6/24/2023,East,Desk,18,237.76,Store C,Retail,0,Carlos,4279.68,Online,SAVE10,0,REG100004,Cust 6506,5.73,6/24/2023,6/27/2023,Eric
2/20/2024,Central,Monitor,2,385.09,Store D,Wholesale,0.15,Diana,654.653,Credit Card,,0,REG100005,Cust 3909,11.92,2/20/2024,3/1/2024,Cameron
1/11/2023,South,Chair,7,17.5,Store C,Retail,0.1,Alice,110.25,Debit Card,WINTER15,0,REG100006,Cust 7887,5.02,1/11/2023,1/14/2023,Sophie
1/9/2023,Central,Chair,3,330.22,Store C,Wholesale,0.15,Carlos,842.061,Cash,,0,REG100007,Cust 5301,48.01,1/9/2023,1/11/2023,Cameron
10/16/2024,South,Chair,3,432.04,Store D,Wholesale,0.05,Bob,1231.314,Debit Card,FREESHIP,1,REG100008,Cust 2284,42.11,10/16/2024,10/18/2024,Sophie
3/5/2025,West,Desk,5,323.28,Store D,Retail,0.1,Frank,1454.76,Gift Card,SAVE10,0,REG100009,Cust 3732,41.1,3/5/2025,3/13/2025,Wendy
4/10/2024,North,Desk,15,523.29,Store B,Wholesale,0.15,Eva,6671.9475,Debit Card,,0,REG100010,Cust 1462,12.14,4/10/2024,4/17/2024,Ryan
7/12/2024,East,Phone,19,207.35,Store D,Retail,0.1,Eva,3545.685,Gift Card,,1,REG100011,Cust 4330,44.89,7/12/2024,7/18/2024,Eric
7/21/2023,Central,Phone,1,120.53,Store B,Retail,0.05,Diana,114.5035,Cash,WINTER15,0,REG100012,Cust 2372,20.35,7/21/2023,7/31/2023,Cameron
1/18/2025,West,Tablet,1,157.83,Store A,Wholesale,0.15,Carlos,134.1555,Debit Card,,0,REG100013,Cust 4672,42.82,1/18/2025,1/22/2025,Wendy
12/8/2024,North,Desk,15,220.3,Store B,Retail,0.15,Diana,2808.825,Debit Card,,0,REG100014,Cust 4548,39.66,12/8/2024,12/15/2024,Ryan
